,mort,GDPc,clusters,index,res,Country,ISO-code
331,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
332,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
333,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
334,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
335,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
336,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
337,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
338,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
339,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
340,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
341,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
342,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
343,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
344,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
345,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
346,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
